,H1-PelletTriflic-Fl-R1,H1-PelletTriflic-Fl-R2,H1-PelletTriflic-Fl-R3,H1-SonicSupTriflic-V2-R1,H1-SonicSupTriflic-V2-R2,H1-SonicSupTriflic-V2-R3,H1-wholetriflic-R1,H1-wholetriflic-R2,H1-wholetriflic-R3
28624366,47,57,55,0,0,0,38,44,35
28624369,29,24,24,2,3,2,16,19,25
28642909,0,8,5,6,3,0,0,5,5
28669037,6,6,9,0,0,0,0,4,5
28669252,0,0,0,0,0,0,0,1,2
28669281,6,5,8,5,6,6,2,3,5
28669282,21,14,12,19,20,20,11,12,10
28669317,2,2,3,0,0,0,7,7,8
28669498,43,43,45,22,31,23,25,16,16
28669682,2,1,3,0,0,0,0,1,0
28669769,4,4,1,0,0,0,2,1,3
28670052,1,2,2,0,0,0,2,2,0
28685733,4,5,7,1,0,0,4,5,5
28755159,1,4,4,2,6,4,5,6,3
28786827,1,2,0,0,0,0,2,2,1
28829095,0,3,0,0,0,0,0,2,0
28832507,5,0,2,0,0,0,5,0,4
28857104,6,8,7,0,0,0,6,5,3
28857394,28,29,26,11,8,7,26,34,23
28857429,5,6,2,0,0,0,2,3,2
28962119,8,8,11,0,0,0,4,4,4
28962162,3,4,6,0,0,0,3,0,1
28962319,14,12,16,0,0,0,20,23,14
28965941,5,7,5,0,0,0,6,5,9
29017705,1,2,0,0,0,0,2,2,1
29050730,9,11,8,6,6,7,6,5,6
29054594,0,0,2,3,5,4,1,2,2
29060753,9,7,11,0,5,5,1,0,2
29065891,0,0,0,0,0,2,0,0,0
29101124,3,2,3,0,0,0,0,0,0
29115176,7,8,10,0,3,7,1,0,2
29177351,4,3,4,2,5,7,1,2,0
29187158,11,15,18,2,6,4,15,16,10
29213833,21,22,23,4,5,4,19,19,18
29214090,1,0,1,0,0,0,0,0,2
29219123,11,8,7,6,4,7,16,12,16
29219301,23,26,25,13,16,18,12,5,5
29244360,4,0,2,0,0,0,5,0,5
29260582,18,18,15,22,17,22,19,18,19
29261456,4,4,4,8,7,7,7,7,8
29262834,54,56,51,5,7,5,48,57,56
29262871,14,12,9,0,0,0,12,11,13
29301977,13,12,10,0,0,0,12,10,8
29324483,18,20,22,1,0,0,21,21,13
29341916,6,6,7,0,0,0,5,3,2
29346381,0,0,0,0,0,0,3,4,2
29358873,0,5,9,0,0,0,0,0,0
29361726,0,0,0,18,16,12,0,3,0
29370388,8,6,2,0,0,0,4,2,0
29371220,22,24,23,10,13,14,11,17,15
29389525,0,0,0,4,6,5,0,1,1
29426066,0,0,0,0,0,0,0,2,0
29430347,1,0,0,6,8,6,0,0,0
29483768,3,2,3,0,0,0,0,0,0
29612414,0,0,0,0,0,0,0,2,0
29612520,9,10,5,0,0,0,10,13,10
29612526,0,9,10,0,0,0,5,0,4
29612533,4,0,3,0,0,0,5,9,4
29617929,4,4,4,8,6,7,5,5,5
29620826,0,4,7,0,0,0,1,3,3
29622238,0,2,2,6,6,4,3,9,5
29623134,4,3,7,3,8,5,0,4,4
29626955,0,0,0,0,0,0,5,4,6
29627385,0,0,0,0,2,4,7,9,7
29663358,3,2,2,0,0,0,1,1,0
29702875,1,2,0,11,9,7,1,2,2
29706196,7,5,9,0,0,0,3,11,11
29706507,13,15,18,18,21,18,13,18,13
29707133,0,0,0,0,0,0,0,4,0
29722536,12,8,11,0,2,6,14,12,10
29733203,19,21,26,0,0,0,20,25,18
29742136,12,10,7,0,0,0,0,0,2
29757347,2,4,5,0,0,0,4,3,4
29757564,0,0,0,6,8,5,0,0,0
29768242,15,12,13,3,2,4,13,13,11
29768466,14,16,13,0,0,0,10,13,10
29774394,29,35,42,22,18,12,53,38,28
29774524,9,9,12,0,0,0,16,20,14
29777422,5,2,2,0,0,0,5,5,6
29783791,0,0,0,0,0,0,2,4,3
29803468,0,0,0,0,0,0,0,0,2
29808448,2,0,0,2,1,0,2,2,0
29829056,9,6,9,0,0,0,11,15,10
29856615,15,16,13,0,0,0,9,13,9
29866789,5,3,5,5,5,7,1,1,2
29940019,48,37,47,9,8,11,34,36,29
29952649,10,10,12,8,9,10,1,1,3
29972795,2,2,4,0,0,0,5,1,5
29976400,17,18,17,0,0,0,15,11,7
29982014,11,13,16,0,0,0,9,16,11
29982033,1,2,0,11,9,7,1,2,2
30058783,3,8,7,0,0,0,5,6,6
30059251,0,2,0,0,0,0,0,0,0
30072883,5,5,4,2,0,2,2,0,4
30076886,1,2,0,0,0,0,2,2,1
30148901,0,0,0,1,0,0,3,3,2
30261450,0,2,0,0,0,0,0,0,0
30274039,9,2,0,10,10,11,4,7,7
30276699,0,0,2,3,5,4,1,2,2
30284856,7,5,7,0,0,0,5,2,3
30331294,15,12,15,0,0,0,27,26,27
30340311,0,2,0,0,0,0,2,4,3
30378767,6,6,4,0,0,0,0,0,0
30382256,6,7,7,0,0,0,7,5,4
30426150,0,3,0,0,0,0,0,0,0
30466800,7,10,10,0,0,0,5,8,6
30483115,7,7,9,0,0,0,7,7,7
30521602,2,2,3,0,0,0,7,5,6
30522534,0,1,2,0,0,0,0,2,0
30544244,0,0,0,10,11,7,5,0,6
30563978,3,1,2,0,0,0,0,0,0
30594435,4,2,0,0,0,0,0,2,0
30660632,0,2,5,0,0,0,0,0,0
30666037,5,2,0,0,0,0,0,0,0
30688773,2,0,0,0,0,0,0,0,0
30744517,0,5,0,0,4,0,0,5,7
30751374,6,5,4,0,0,0,0,4,0
30813454,0,3,0,0,0,0,0,2,0
30814076,16,17,14,0,0,0,9,13,13
30840365,7,5,7,0,0,0,4,6,4
30842656,9,7,4,0,0,0,0,6,0
30844171,8,8,8,7,8,5,8,7,7
30844231,38,28,26,15,13,13,33,29,35
30844263,23,24,22,0,2,0,18,21,16
30853851,6,6,7,0,0,0,12,7,3
30854310,0,0,0,0,0,0,6,9,8
30856007,27,31,30,37,33,36,31,35,19
30879192,16,21,19,0,0,0,17,10,18
31007747,0,0,0,0,0,0,0,5,0
31008809,9,8,10,9,10,6,10,9,7
31009493,3,1,4,1,5,2,0,1,1
31010052,2,2,3,0,0,0,6,5,6
31010772,4,4,6,7,8,9,5,6,7
31058828,8,8,10,0,0,0,4,4,4
31060674,1,0,1,0,0,0,4,0,0
31060847,13,8,6,6,3,5,8,6,6
31060890,7,7,6,9,12,8,16,7,13
31060914,0,2,1,0,0,0,0,0,4
31061793,0,2,1,0,0,0,0,2,1
31065003,5,0,0,0,0,0,0,0,0
31168103,4,6,5,0,1,0,6,5,5
31208159,0,0,0,0,0,0,0,0,2
31218373,0,0,0,0,0,0,0,0,3
31254632,7,7,6,16,18,14,16,7,14
31255222,4,4,3,14,15,12,13,10,13
31255291,8,5,7,3,0,0,9,11,9
31255300,13,18,24,0,0,0,15,13,4
31255853,2,2,3,0,0,0,6,5,6
31260831,0,0,0,12,14,10,0,2,1
31262117,8,7,7,2,3,2,7,9,9
31262174,16,13,19,20,17,20,9,12,10
31262385,2,2,3,0,0,0,6,5,6
31265429,18,19,14,0,0,0,11,13,11
31269580,2,2,3,0,0,0,6,5,6
31281505,5,5,5,8,10,7,14,5,7
31282515,0,2,2,0,0,0,0,1,1
31331643,7,5,3,5,5,5,9,9,8
31333173,2,2,3,0,0,0,6,5,6
31358126,4,5,7,0,0,0,0,0,0
31358980,2,3,2,7,6,4,2,2,3
31359012,3,2,3,0,0,0,0,0,0
31372814,0,0,0,2,0,0,0,0,0
31376270,4,4,6,7,8,9,5,6,7
31377698,2,2,3,0,0,0,6,5,6
31403230,0,0,0,0,0,0,0,4,0
31445753,0,0,0,0,0,4,0,0,0
31464994,0,0,0,0,0,0,0,5,6
31466266,2,2,3,0,0,0,6,5,6
31516876,4,4,6,7,8,9,5,6,7
31549327,6,4,5,0,0,0,0,4,0
31554446,20,15,17,0,0,0,3,4,0
31563170,33,36,41,5,2,1,38,37,34
31618946,5,0,6,0,0,0,0,0,0
31669919,2,0,0,0,0,0,0,0,0
31701590,1,2,0,0,0,0,2,2,1
31724738,26,19,32,8,7,9,26,19,16
31756597,9,6,7,0,0,0,6,6,6
31854137,3,1,1,0,0,0,1,1,3
31893283,8,8,10,0,0,0,4,4,4
32092798,14,14,17,5,5,4,15,15,13
32119095,0,3,0,0,0,0,0,0,0
32205502,4,4,3,2,3,2,6,4,4
32205582,4,3,5,0,0,0,4,4,4
32207804,6,4,8,5,3,3,0,0,0
32208263,16,12,14,0,0,0,3,2,3
32253162,4,4,3,2,3,2,5,4,4
32313425,0,2,0,0,0,0,0,0,0
32313553,0,0,0,0,0,0,0,0,2
32313561,13,8,13,0,0,0,9,7,6
32313673,0,0,4,0,0,0,0,5,3
32340240,2,0,2,0,2,1,1,0,2
32350358,0,0,0,0,0,0,0,2,1
32359138,4,4,3,2,0,2,3,0,5
32363526,11,7,9,0,0,0,8,0,0
32388304,63,65,61,82,82,84,69,65,62
32391158,0,0,0,0,0,0,2,2,0
32391168,28,29,24,35,34,30,16,18,14
32437433,7,11,9,0,0,0,8,13,9
32530592,4,4,6,7,8,9,5,6,7
32547415,0,0,0,0,0,0,3,2,2
32564674,0,0,0,2,0,0,0,0,0
32580156,5,4,4,2,3,2,5,4,5
32610348,4,4,5,0,0,0,0,0,0
32649848,12,3,0,0,0,0,6,0,0
32651778,74,70,73,8,9,10,64,44,61
32652547,7,7,8,0,0,0,4,6,6
32652762,0,4,4,3,2,3,0,2,0
32659662,14,13,10,13,13,16,12,12,11
32699361,0,0,0,6,6,4,0,0,0
32783706,3,5,7,0,0,0,5,0,1
32784939,15,10,11,3,2,4,11,9,9
32796399,0,3,3,0,0,0,0,0,0
32811898,11,6,9,0,0,0,19,20,14
32840616,0,0,0,0,0,0,4,5,5
32902842,5,2,2,0,0,0,5,5,6
32904977,2,3,3,0,0,0,4,5,6
32956450,9,2,0,6,3,6,5,5,6
33077553,2,2,3,0,0,0,6,5,6
33105645,2,4,4,0,0,0,4,2,4
33165099,6,6,5,2,3,2,8,7,6
33204947,0,0,0,0,2,0,0,0,0
33210314,3,1,1,0,2,0,1,0,1
33214650,11,8,4,0,0,0,8,8,6
33310797,4,4,3,4,3,3,5,1,6
33310974,0,6,0,0,15,16,11,8,9
33346795,0,0,0,0,0,2,0,0,0
33383509,6,6,5,2,3,2,8,7,6
33428694,4,1,2,1,2,1,4,1,1
33437672,7,8,8,5,3,7,6,7,5
33438652,4,2,4,0,0,0,2,4,2
33445452,5,6,8,5,9,7,3,3,3
33471949,0,0,2,26,22,25,6,7,4
33483424,0,0,0,2,0,0,0,0,0
33550142,0,6,3,0,0,0,0,0,0
33635880,7,5,5,0,0,0,0,0,0
33636217,0,0,0,0,0,0,6,3,5
33637968,35,35,28,0,0,0,31,25,24
33638498,2,2,3,0,0,0,6,5,6
33638553,2,6,0,0,0,0,7,8,9
33638873,0,2,0,0,0,0,6,7,0
33639204,0,0,0,0,0,0,0,2,0
33639340,0,7,9,0,0,0,8,4,0
33640788,0,0,0,0,0,0,2,3,5
33641575,0,0,0,0,0,0,3,5,4
33736016,2,0,0,14,18,12,16,11,11
33736797,0,0,0,0,0,0,11,15,10
33756901,0,0,0,2,0,0,0,0,0
33775829,0,0,0,0,0,0,0,4,0
33842604,0,0,0,9,12,12,0,0,0
33845684,0,3,5,5,6,0,0,0,0
33846848,13,11,16,13,13,14,8,13,14
33848781,0,0,0,0,0,0,3,0,0
33918894,30,29,31,21,23,24,107,87,92
33918922,12,12,18,0,0,0,41,51,53
33919038,0,6,0,0,0,0,0,0,0
33919056,0,0,0,6,6,6,0,0,0
33919232,0,0,0,0,0,0,2,2,0
33919340,3,0,4,0,0,0,0,0,0
33919596,140,122,136,0,0,0,55,65,59
33946403,0,0,0,22,17,22,0,0,0
33969404,50,41,48,0,0,0,54,64,55
33997764,88,65,71,0,0,0,44,44,39
34024528,3,2,3,0,0,0,0,0,0
34029664,3,2,3,0,0,0,0,0,0
34034060,2,0,0,14,18,12,16,11,11
34034971,0,0,0,2,0,0,0,0,0
34300085,12,10,8,0,0,0,9,11,9
34500901,0,0,0,0,0,0,0,0,2
35377986,1,2,3,2,2,2,4,2,3
36084044,0,4,2,0,0,0,0,0,0
36094142,2,0,0,0,0,0,0,0,2
36098886,10,8,11,10,13,13,5,6,2
36102001,2,2,3,0,0,0,6,5,6
36103413,0,0,3,1,0,0,0,2,3
36107728,0,0,0,0,0,0,10,17,13
36108589,4,2,3,2,3,2,3,4,2
36114533,1,1,1,0,0,0,0,0,3
36123541,3,2,3,0,0,0,0,0,0
36128735,3,2,2,0,0,0,1,3,6
36132573,11,8,9,2,3,2,13,13,14
36134243,1,4,2,0,0,0,1,2,3
36147634,0,0,0,5,5,3,0,0,0
36153766,0,0,0,2,3,1,0,0,0
36160980,3,6,4,0,0,0,8,14,13
36176727,0,0,0,0,0,0,3,2,0
36183917,6,3,3,0,0,0,0,0,0
36204671,0,0,0,8,5,4,0,0,0
36211647,2,2,3,0,0,0,6,5,6
36211732,2,2,3,0,0,0,6,5,6
36215943,2,3,4,0,0,0,3,0,1
36216881,0,0,0,0,0,0,4,6,4
36217602,79,83,86,4,3,2,91,82,68
36220708,6,5,7,16,13,11,2,0,0
36226148,35,30,35,47,44,40,38,45,41
36238237,11,14,9,6,8,5,10,15,11
36241782,6,8,7,21,20,19,9,8,6
36280278,8,6,8,0,0,0,4,6,4
36281058,13,10,12,0,0,0,12,10,15
36292353,0,4,4,13,18,14,0,0,0
36306027,26,33,31,27,21,23,12,16,19
36307195,6,7,6,2,0,3,3,1,2
36311677,5,6,4,1,3,2,0,0,0
36312113,18,30,25,26,23,32,18,20,14
36314499,0,0,2,2,0,0,0,0,0
36325217,0,0,2,3,2,0,0,2,0
36340490,0,0,0,0,0,0,12,19,18
36341945,0,0,0,0,0,0,1,2,0
36345148,0,0,0,6,6,7,0,0,0
36349275,2,3,3,0,0,0,0,3,1
36350597,17,13,16,0,0,0,15,18,18
36351868,3,4,3,11,12,13,4,4,4
36361385,4,2,4,0,0,0,1,4,2
36374512,7,5,7,0,0,0,4,4,4
36392534,0,2,1,0,0,0,0,0,4
36393272,0,0,0,4,6,5,0,1,1
36394373,4,7,5,9,9,8,4,3,0
36398647,3,5,3,9,8,6,7,4,7
36400935,21,23,28,23,19,19,28,24,28
36401269,7,5,7,0,0,0,6,3,3
36401449,6,4,4,0,0,0,2,0,4
36407231,0,4,0,0,0,0,7,5,3
36410268,2,2,5,6,7,9,1,0,0
36410357,7,5,8,0,0,0,14,15,12
36413254,0,3,1,1,1,2,0,3,0
36415732,3,4,7,6,1,2,4,4,5
36417515,3,0,3,0,2,2,2,4,2
36448538,2,3,2,0,0,0,0,1,0
36451674,5,6,7,6,5,4,4,6,3
36453266,0,1,2,8,5,6,0,0,0
36457461,11,8,8,84,90,85,0,0,0
36457651,5,7,3,1,3,2,0,0,0
36459776,0,0,0,51,56,56,0,2,1
36460017,7,5,6,4,8,2,7,5,0
36460395,6,5,4,0,0,0,1,0,0
36462282,2,0,0,4,2,2,3,0,0
36462625,1,3,5,0,0,0,0,0,0
36462767,0,0,0,7,5,6,0,0,0
36463381,8,6,13,0,0,0,10,4,5
36468071,7,17,15,0,0,0,14,16,11
36469516,0,0,0,0,0,0,0,2,0
36473658,0,0,0,3,2,2,0,0,0
36483674,4,2,0,0,0,0,4,4,6
36493795,11,14,13,17,22,17,15,16,5
36501240,2,2,3,0,0,0,6,5,6
36505495,2,2,3,0,0,0,6,5,6
36510691,42,39,33,0,0,0,38,44,40
36515026,6,5,3,5,5,5,9,9,8
36515239,0,4,1,0,0,0,0,0,0
36517137,2,2,3,0,0,0,7,7,8
36518181,0,0,0,0,0,0,1,2,0
36526098,3,2,3,0,1,0,0,0,0
36545468,1,2,2,0,0,0,2,2,0
36548409,11,8,4,0,0,0,8,8,6
36550382,7,5,5,7,4,6,8,7,6
36553761,6,6,5,0,0,0,3,8,5
36556596,0,0,0,0,0,0,1,0,2
36557797,32,29,39,35,38,29,47,49,45
36582470,2,0,0,0,0,0,0,0,0
36584557,2,3,0,0,0,0,0,0,0
36594536,0,0,3,1,0,0,0,2,3
36600928,0,0,3,9,12,11,6,7,2
36607526,4,2,2,1,2,2,6,5,1
36626613,2,2,3,0,0,0,6,5,6
36639413,6,3,4,0,0,0,4,3,2
36644240,0,0,0,3,5,8,0,0,0
36649811,11,9,7,0,0,0,5,4,4
36653192,17,15,13,1,2,3,22,26,25
36655378,11,7,10,18,16,11,2,2,2
36656274,12,15,16,0,0,0,12,16,11
36658367,5,7,7,0,0,2,7,6,9
36658736,20,23,20,0,0,0,22,18,15
36663158,23,18,16,76,63,69,13,7,7
36681422,3,0,5,0,0,0,0,0,0
36686344,0,0,0,5,3,4,2,0,0
36692353,3,2,2,0,0,0,0,5,6
36698175,10,10,10,7,5,4,4,0,0
36699839,19,19,15,0,0,2,13,12,7
36701517,17,22,20,31,34,31,21,26,24
36703241,4,2,2,0,0,0,2,2,2
36712605,6,5,8,86,80,100,7,7,1
36716568,8,2,2,5,3,5,4,6,6
36721899,0,0,0,0,0,0,3,2,0
36721933,0,0,0,21,17,19,0,0,0
36729891,3,4,2,10,9,12,1,2,1
36730324,7,5,3,0,0,0,3,0,2
36734803,0,0,0,4,6,5,0,1,1
36737879,4,6,3,0,0,0,12,5,0
36740539,2,2,3,0,0,0,6,5,6
36748532,25,20,20,16,13,13,28,20,19
36751406,0,4,0,0,0,0,0,0,0
36765825,2,2,3,0,0,0,6,5,6
36774580,0,2,0,0,0,0,0,0,0
36777143,11,8,5,0,0,0,3,6,7
36779731,19,21,24,0,1,3,26,15,19
36781703,6,7,8,25,19,27,3,4,5
36783272,6,4,4,5,4,4,3,4,3
36785606,12,14,15,4,5,4,17,14,16
36785761,0,0,0,5,5,5,0,1,0
36788610,6,4,3,16,10,16,1,0,1
36789280,0,0,0,9,6,9,0,0,0
36789398,0,0,0,3,3,3,0,0,1
36789886,4,3,5,0,0,0,3,3,3
36796683,4,4,3,0,0,0,7,3,2
36801819,0,0,2,12,17,12,3,0,5
36802987,0,0,0,4,5,3,0,0,0
36803430,3,3,4,0,0,0,2,2,4
36804695,10,21,9,12,8,8,0,0,0
36810135,0,0,0,3,4,2,0,0,0
36811669,0,5,0,33,26,26,0,0,0
36814742,5,5,5,7,10,8,0,0,0
36816359,19,29,25,59,64,59,16,15,12
36816929,6,7,7,12,8,11,5,5,4
36821209,2,2,0,0,0,0,0,0,0
36825165,2,0,0,0,0,0,0,0,0
36835767,8,7,7,0,0,0,2,4,4
36838330,0,0,0,16,14,12,0,0,0
36840021,0,0,0,2,9,9,3,5,2
36840312,6,10,7,0,0,0,6,9,6
36844164,0,0,0,7,6,7,0,0,0
36849413,0,0,0,0,0,0,6,2,5
36849736,3,2,4,39,28,34,0,0,0
36854308,0,0,0,21,25,28,0,2,1
36865512,8,8,10,0,0,0,0,0,0
36883756,16,17,14,0,0,0,9,12,8
36895570,0,0,0,6,3,0,0,0,0
36902495,0,0,0,3,3,2,0,0,0
36904755,9,11,12,0,0,0,6,6,3
36913304,4,0,0,0,0,0,0,0,0
36917687,0,0,0,4,7,6,0,0,0
36920037,8,5,5,16,13,14,0,0,0
36923984,5,3,4,10,11,9,2,2,3
36942174,0,1,1,13,12,14,3,3,7
36946474,0,0,0,0,0,0,3,1,1
36949556,3,6,5,4,4,2,2,4,2
36958145,0,0,2,3,5,4,1,2,2
36958605,0,3,0,7,6,13,0,0,0
36964950,0,0,1,9,8,10,0,0,0
36969883,0,0,0,0,0,2,0,0,0
36974013,31,32,31,107,108,101,0,0,0
36999421,47,68,55,82,70,74,63,61,45
37006715,5,6,4,8,5,4,11,14,14
37008597,15,16,17,0,0,0,11,9,7
37010718,3,2,3,0,0,0,0,0,0
37017841,0,0,3,0,0,2,0,4,3
37021135,0,0,0,8,5,7,0,0,0
37025399,15,14,17,3,0,0,13,16,14
37025556,52,43,45,15,18,14,11,14,10
37036710,2,0,0,0,0,0,0,3,0
37036767,12,10,12,13,13,12,8,7,6
37055987,0,2,0,8,12,10,0,0,0
37064450,9,10,7,6,7,6,11,16,14
37065845,0,2,1,0,0,0,0,0,4
37065916,2,2,3,0,0,0,7,7,8
37066461,0,0,0,4,2,3,0,0,0
37067649,0,0,0,11,13,9,0,0,0
37079428,5,9,10,0,0,0,10,8,6
37081381,4,5,0,6,0,4,0,3,4
37081666,4,2,4,23,22,25,0,3,4
37081817,8,9,7,4,1,4,5,3,9
37084250,0,0,0,9,7,9,0,3,0
37104342,0,0,0,9,7,8,0,0,0
37131451,7,3,5,0,0,0,1,0,0
37135030,0,0,3,0,0,0,0,0,0
37145660,8,8,8,24,27,25,9,11,7
37157498,0,0,0,1,2,0,0,0,0
37158151,4,2,2,0,0,0,0,0,0
37160670,27,26,34,26,25,32,29,26,24
37161526,3,4,3,9,7,8,4,4,4
37164776,3,5,5,0,0,0,4,5,7
37169622,0,2,0,0,2,1,0,0,0
37208050,1,2,0,15,20,18,0,3,1
37211207,2,2,1,6,5,5,0,0,0
37215011,2,2,3,0,0,0,6,5,6
37216943,30,42,32,0,0,0,22,17,13
37239585,0,0,1,2,0,0,0,0,0
37261780,5,9,6,0,0,0,11,10,10
37264714,4,2,6,5,5,5,4,2,3
37270167,0,3,5,0,0,5,0,0,0
37272158,8,7,7,0,0,0,9,13,10
37275261,10,11,9,8,13,7,4,7,6
37289294,2,3,2,0,0,0,6,5,6
37310718,3,2,3,0,0,0,0,0,0
37313435,3,5,4,14,14,13,0,0,0
37318483,7,4,10,4,5,5,1,0,0
37321938,0,0,0,4,2,2,0,0,0
37324367,0,2,0,0,0,0,0,0,0
37331853,0,7,0,0,13,16,11,10,9
37333707,0,0,0,5,0,5,0,0,0
37343775,36,29,27,0,0,0,26,24,18
37345174,11,13,18,20,29,23,12,13,2
37349660,3,0,1,0,1,1,0,0,0
37352018,0,0,0,10,6,8,0,0,0
37353469,0,0,0,6,9,7,0,0,0
37354860,3,0,0,0,0,0,5,3,0
37364098,0,0,0,5,5,5,0,0,0
37365157,5,12,10,13,5,5,11,12,11
37377048,0,0,0,4,2,4,0,0,0
37377101,0,0,0,0,0,0,2,0,3
37387955,8,8,10,0,0,0,4,4,4
37391455,0,0,0,7,8,8,0,0,0
37407596,0,0,0,5,0,1,0,0,0
37411698,0,0,0,3,6,5,0,0,0
37411701,17,19,18,73,53,61,3,0,0
37439011,0,0,0,26,21,23,13,14,11
37445983,3,0,0,5,3,2,0,0,0
37452827,0,0,0,2,3,1,0,0,0
37466974,0,0,0,24,24,22,22,20,22
37470585,0,0,0,18,23,17,0,0,0
37474904,0,2,0,2,5,5,0,0,0
37476472,0,0,0,12,13,14,0,0,0
37477462,9,11,10,0,0,0,8,6,10
37478594,26,20,19,16,14,13,11,9,10
37483090,0,0,0,24,23,26,10,10,9
37484022,0,0,0,8,9,10,3,0,0
37494959,0,0,0,0,0,0,19,25,20
37497956,10,10,8,0,0,0,8,11,8
37503702,2,2,3,0,0,0,6,5,6
37505542,2,2,3,0,0,0,6,5,6
37514470,2,3,3,0,0,0,5,4,4
37516417,13,12,18,8,7,8,11,10,12
37516876,7,10,10,17,19,24,15,13,12
37518288,8,9,10,14,14,13,10,12,5
37534111,6,6,7,14,12,12,6,5,5
37537350,0,0,2,3,5,4,1,2,2
37538594,3,4,2,3,2,2,0,0,0
37538939,2,2,3,0,0,0,6,5,6
37551209,5,4,5,0,0,0,8,6,2
37559002,22,17,18,26,22,32,8,13,5
37560730,4,5,6,6,7,5,4,3,2
37562958,0,2,1,0,0,0,2,0,0
37563438,0,0,0,4,5,4,0,0,0
37578733,21,22,17,33,37,35,15,10,13
37583071,2,5,2,19,24,23,4,7,5
37597003,0,0,0,2,3,5,0,0,0
37597499,4,2,2,9,8,10,0,0,0
37606254,0,2,0,1,3,1,5,7,3
37615398,4,2,5,15,18,17,6,4,7
37630601,10,12,10,0,0,0,9,6,8
37637200,2,3,3,4,4,2,2,0,0
37649359,5,4,7,6,5,4,6,4,4
37670366,16,8,12,82,94,81,5,5,9
37672716,4,5,3,0,0,0,7,5,6
37674376,5,5,3,5,5,5,7,5,4
37697707,4,4,4,7,7,6,3,6,5
37700845,3,3,3,0,0,0,1,2,2
37729298,0,1,4,0,0,0,0,1,1
37737643,2,2,3,0,0,0,6,5,6
37739724,0,0,2,3,5,4,1,2,2
37751044,0,0,0,8,5,9,0,0,0
37751245,2,2,3,0,0,0,6,5,6
37758775,12,10,7,12,13,9,7,8,6
37759527,0,0,2,3,5,4,1,2,2
37766142,0,0,0,2,3,5,0,0,0
37769916,10,12,11,39,40,34,17,25,20
37770535,2,2,3,0,0,0,6,5,6
37792551,2,2,3,0,0,0,6,5,6
37795271,3,3,3,0,0,0,7,8,2
37798651,0,0,0,5,3,5,0,0,0
37808099,5,3,4,0,0,0,4,5,4
37832715,4,4,3,2,0,2,3,0,5
37845629,0,2,2,0,0,0,7,2,1
37855743,4,0,0,31,27,25,0,0,0
37860507,2,2,3,0,0,0,6,5,6
37868108,2,5,5,5,4,3,11,5,3
37905621,0,2,1,0,0,0,12,6,0
37910892,17,18,15,8,3,2,21,17,17
37911032,2,2,3,0,0,0,6,5,6
37911383,0,0,0,9,12,13,0,0,0
37912434,9,8,8,0,0,0,12,10,12
37914387,3,3,2,0,0,0,4,3,3
37920933,8,5,7,0,0,0,6,4,4
37947140,0,0,0,6,4,5,0,0,0
37949579,15,6,6,0,0,0,20,18,25
37960444,31,27,37,0,0,0,33,32,36
37964263,5,2,4,2,2,5,3,6,4
37964574,44,41,45,0,0,0,44,40,33
37965389,0,0,0,4,5,3,0,0,0
37965548,5,10,10,117,118,107,30,20,18
37968962,0,0,0,5,1,1,2,2,0
37969809,3,0,0,1,3,2,0,0,0
37969849,40,37,37,24,31,24,22,16,14
37971910,0,0,0,13,9,10,0,4,3
37974360,0,4,0,11,17,16,0,0,0
37977497,0,0,0,0,0,0,12,17,14
37978224,24,19,20,12,18,8,10,10,14
37978804,0,0,0,15,15,12,3,0,0
37992344,0,0,0,4,9,5,0,0,0
37992586,25,30,31,0,0,0,28,32,30
37998200,0,3,1,0,0,0,5,3,5
38003285,9,11,13,0,0,0,7,13,11
38006889,9,13,14,4,3,5,21,15,11
38010648,3,1,2,3,6,4,1,2,0
38016763,19,16,20,7,10,12,15,13,14
38016774,26,28,35,18,18,15,37,29,29
38017660,4,3,5,0,0,0,4,4,4
38018722,9,6,6,8,9,6,7,6,2
38030174,2,2,3,0,0,0,6,5,6
38031965,0,0,0,5,5,4,0,0,0
38033646,1,4,4,0,0,0,0,0,0
38042584,2,3,1,17,13,13,0,0,0
38048800,0,0,0,0,0,0,12,14,10
38057567,6,0,0,35,29,35,0,0,0
38064577,0,0,0,0,0,0,3,3,1
38064992,2,2,2,0,0,0,0,0,0
38065150,0,0,0,4,3,2,0,0,0
38073401,5,5,3,0,0,0,0,7,6
38074222,8,7,7,0,0,0,9,13,10
38076584,3,4,3,9,7,8,4,4,4
38081648,2,1,2,4,10,10,0,0,0
38083394,2,3,2,0,0,0,1,5,2
38086891,0,0,0,2,1,0,0,0,0
38087983,16,14,18,0,0,0,18,13,17
38093150,7,5,6,0,0,0,6,6,6
38105896,4,0,0,0,0,0,3,0,0
38109105,0,0,0,4,0,5,0,0,0
38110764,7,8,5,0,0,0,8,9,9
38112372,8,5,7,0,0,0,5,9,0
38113000,0,2,1,0,0,0,6,4,7
38116795,54,61,70,26,23,26,69,63,61
38125758,7,2,4,0,0,0,6,3,2
38126568,5,6,4,7,4,6,11,9,10
38136525,0,0,0,0,0,2,0,0,0
38138593,6,4,4,11,14,12,4,5,5
38140469,0,3,4,0,0,0,0,0,0
38143190,2,2,2,0,0,1,4,3,3
38154914,0,5,0,0,7,11,4,3,3
38159781,4,1,1,0,0,0,2,3,1
38164354,0,0,0,0,0,0,0,2,3
38170520,25,22,19,10,9,14,28,26,26
