,BS_sonic_1,BS_sonic_2,BS_sonic_3,BS_triflic_1,BS_triflic_2,BS_triflic_3,Jurkat_sonic_1,Jurkat_sonic_2,Jurkat_sonic_3,Jurkat_triflic_1,Jurkat_triflic_2,Jurkat_triflic_3,PA_pellet_1,PA_pellet_2,PA_pellet_3,PA_sonic_1,PA_sonic_2,PA_sonic_3,PA_triflic_1,PA_triflic_2,PA_triflic_3
J3KRI6,,,,,,,,,3.0,,,,,,,,,,,,
J3KRX8,,,,,,,,,,,,3.0,,,,,,,,,
J3KRY1,,,,,,,17.0,3.0,5.0,2.0,,,,,,,,,,,
J3KRZ1,,,,,,,3.0,,4.0,2.0,,,,,,,,,,,
J3KS10,,,,,,,6.0,,,,,,,,,,,,,,
J3KS13,,,,,,,6.0,6.0,14.0,6.0,11.0,7.0,,,,,,,,,
J3KS25,,,,,,,62.0,25.0,11.0,,,,,,,,,,,,
J3KS54,,,,,,,2.0,,2.0,,,,,,,,,,,,
J3KS93,,,,,,,16.0,,,,11.0,14.0,,,,,,,,,
J3KSM4,,,,,,,,,3.0,,,5.0,,,,,,,,,
J3KSN1,,,,,,,,,6.0,,,,,,,,,,,,
J3KSN7,,,,,,,,,2.0,,,,,,,,,,,,
J3KSQ2,,,,,,,3.0,,2.0,5.0,3.0,3.0,,,,,,,,,
J3KSW7,,,,,,,,,,,4.0,,,,,,,,,,
J3KSZ0,,,,,,,27.0,,10.0,27.0,12.0,18.0,,,,,,,,,
J3KT04,,,,,,,22.0,,6.0,,8.0,,,,,,,,,,
J3KT12,,,,,,,64.0,31.0,17.0,29.0,25.0,33.0,,,,,,,,,
J3KT51,,,,,,,11.0,,12.0,,,,,,,,,,,,
J3KT65,,,,,,,213.0,32.0,283.0,68.0,130.0,148.0,,,,,,,,,
J3KTB5,,,,,,,43.0,6.0,8.0,28.0,23.0,,,,,,,,,,
J3KTF1,,,,,,,2.0,,,4.0,2.0,7.0,,,,,,,,,
J3KTJ1,,,,,,,4.0,,,,,,,,,,,,,,
J3KTJ3,,,,,,,4.0,,,,,7.0,,,,,,,,,
J3KTJ8,,,,,,,6.0,,,,,,,,,,,,,,
J3KTL2,,,,,,,11.0,,10.0,7.0,8.0,4.0,,,,,,,,,
J3KTM9,,,,,,,49.0,7.0,24.0,24.0,23.0,9.0,,,,,,,,,
J3KTN0,,,,,,,2.0,6.0,6.0,2.0,,,,,,,,,,,
J3QK89,,,,,,,,,4.0,,2.0,,,,,,,,,,
J3QKP5,,,,,,,,,2.0,,,,,,,,,,,,
J3QKT2,,,,,,,7.0,,3.0,11.0,4.0,17.0,,,,,,,,,
J3QKZ9,,,,,,,41.0,,,,,,,,,,,,,,
J3QL15,,,,,,,9.0,,6.0,2.0,6.0,,,,,,,,,,
J3QL43,,,,,,,63.0,29.0,,28.0,,,,,,,,,,,
J3QL52,,,,,,,,,4.0,,,,,,,,,,,,
J3QLE9,,,,,,,,,,2.0,,,,,,,,,,,
J3QLI9,,,,,,,8.0,,,4.0,,9.0,,,,,,,,,
J3QLN6,,,,,,,42.0,4.0,7.0,,,,,,,,,,,,
J3QQ67,,,,,,,3.0,,10.0,16.0,6.0,5.0,,,,,,,,,
J3QQM1,,,,,,,14.0,,,,2.0,,,,,,,,,,
J3QQP0,,,,,,,22.0,,5.0,,8.0,,,,,,,,,,
J3QQQ2,,,,,,,,,,,,2.0,,,,,,,,,
J3QQT9,,,,,,,3.0,,,,,,,,,,,,,,
J3QQX0,,,,,,,,,3.0,,,,,,,,,,,,
J3QQX2,,,,,,,,,,,,3.0,,,,,,,,,
J3QR02,,,,,,,,,,,2.0,,,,,,,,,,
J3QR07,,,,,,,4.0,,2.0,,,,,,,,,,,,
J3QR48,,,,,,,,2.0,,2.0,,,,,,,,,,,
J3QR64,,,,,,,63.0,29.0,12.0,27.0,25.0,,,,,,,,,,
J3QRH4,,,,,,,,,,6.0,3.0,,,,,,,,,,
J3QRK5,,,,,,,,,5.0,,,14.0,,,,,,,,,
J3QRN5,,,,,,,,4.0,,,,2.0,,,,,,,,,
J3QRP6,,,,,,,,,,,2.0,,,,,,,,,,
J3QRQ7,,,,,,,2.0,6.0,7.0,,3.0,5.0,,,,,,,,,
J3QRR4,,,,,,,3.0,3.0,,,,,,,,,,,,,
J3QRS3,,,,,,,7.0,,,,,3.0,,,,,,,,,
J3QRS9,,,,,,,,,2.0,,,,,,,,,,,,
J3QRW1,,,,,,,,7.0,,,,,,,,,,,,,
J3QRY4,,,,,,,,,,,2.0,,,,,,,,,,
J3QS69,,,,,,,,,16.0,,,,,,,,,,,,
J3QSA3,,,,,,,,,2.0,,,,,,,,,,,,
J3QSB4,,,,,,,,,17.0,,,2.0,,,,,,,,,
J3QSE0,,,,,,,13.0,,,,,,,,,,,,,,
J3QSE2,,,,,,,4.0,,,,,,,,,,,,,,
J3QSX4,,,,,,,12.0,,,,,,,,,,,,,,
J3QSX6,,,,,,,,,2.0,,,,,,,,,,,,
J3QTA6,,,,,,,2.0,,,,,,,,,,,,,,
K7EIE7,,,,,,,5.0,2.0,2.0,3.0,,5.0,,,,,,,,,
K7EII0,,,,,,,2.0,,,10.0,,,,,,,,,,,
K7EIS0,,,,,,,2.0,,,,7.0,,,,,,,,,,
K7EIT4,,,,,,,,17.0,6.0,7.0,,3.0,,,,,,,,,
K7EIV2,,,,,,,5.0,,,,,,,,,,,,,,
K7EJ44,,,,,,,51.0,,27.0,,6.0,9.0,,,,,,,,,
K7EJ51,,,,,,,7.0,2.0,,,,,,,,,,,,,
K7EJ57,,,,,,,10.0,,,,,,,,,,,,,,
K7EJ74,,,,,,,,,,,,2.0,,,,,,,,,
K7EJ78,,,,,,,38.0,8.0,31.0,,13.0,2.0,,,,,,,,,
K7EJB5,,,,,,,,,3.0,,,,,,,,,,,,
K7EJB9,,,,,,,50.0,12.0,52.0,4.0,12.0,31.0,,,,,,,,,
K7EJE8,,,,,,,6.0,,4.0,,,,,,,,,,,,
K7EJH8,,,,,,,6.0,,6.0,2.0,,,,,,,,,,,
K7EJJ5,,,,,,,2.0,4.0,,,4.0,2.0,,,,,,,,,
K7EJL0,,,,,,,,,,,,2.0,,,,,,,,,
K7EJL1,,,,,,,2.0,,,,,,,,,,,,,,
K7EJL9,,,,,,,5.0,,2.0,,,,,,,,,,,,
K7EJP1,,,,,,,,,2.0,,,,,,,,,,,,
K7EK45,,,,,,,48.0,7.0,7.0,15.0,30.0,36.0,,,,,,,,,
K7EK60,,,,,,,9.0,,,,,,,,,,,,,,
K7EK77,,,,,,,2.0,,8.0,3.0,,6.0,,,,,,,,,
K7EKG4,,,,,,,,,,3.0,,,,,,,,,,,
K7EKJ7,,,,,,,34.0,15.0,4.0,9.0,25.0,28.0,,,,,,,,,
K7EKJ9,,,,,,,8.0,,4.0,8.0,5.0,7.0,,,,,,,,,
K7EKP8,,,,,,,,8.0,,,,,,,,,,,,,
K7EKY0,,,,,,,5.0,,2.0,6.0,2.0,4.0,,,,,,,,,
K7EL29,,,,,,,,15.0,,,,,,,,,,,,,
K7EL40,,,,,,,5.0,5.0,8.0,,,,,,,,,,,,
K7EL50,,,,,,,58.0,16.0,145.0,,2.0,11.0,,,,,,,,,
K7ELC2,,,,,,,59.0,22.0,47.0,15.0,18.0,7.0,,,,,,,,,
K7ELC7,,,,,,,10.0,3.0,5.0,7.0,3.0,,,,,,,,,,
K7ELJ9,,,,,,,,,3.0,,,,,,,,,,,,
K7ELL7,,,,,,,13.0,,10.0,,,,,,,,,,,,
K7ELN9,,,,,,,7.0,,11.0,2.0,5.0,5.0,,,,,,,,,
K7ELP8,,,,,,,5.0,,10.0,,,,,,,,,,,,
K7ELW5,,,,,,,,13.0,,,3.0,26.0,,,,,,,,,
K7EM18,,,,,,,2.0,,,,,,,,,,,,,,
K7EM19,,,,,,,11.0,,,,,,,,,,,,,,
K7EM20,,,,,,,55.0,46.0,84.0,9.0,5.0,2.0,,,,,,,,,
K7EM38,,,,,,,211.0,,,67.0,,,,,,,,,,,
K7EM49,,,,,,,,5.0,,,,,,,,,,,,,
K7EM56,,,,,,,34.0,,,,,,,,,,,,,,
K7EM85,,,,,,,4.0,,,,,,,,,,,,,,
K7EM90,,,,,,,477.0,210.0,152.0,77.0,113.0,109.0,,,,,,,,,
K7EMA7,,,,,,,4.0,,19.0,,,,,,,,,,,,
K7EMA8,,,,,,,,,3.0,,,7.0,,,,,,,,,
K7EMN2,,,,,,,,3.0,,,,,,,,,,,,,
K7EMQ3,,,,,,,,,3.0,,,,,,,,,,,,
K7EN81,,,,,,,8.0,,,,3.0,,,,,,,,,,
K7ENA0,,,,,,,38.0,8.0,34.0,,5.0,,,,,,,,,,
K7ENA8,,,,,,,,,,,2.0,,,,,,,,,,
K7ENG2,,,,,,,13.0,15.0,17.0,,,4.0,,,,,,,,,
K7ENJ4,,,,,,,,,6.0,,,,,,,,,,,,
K7ENL0,,,,,,,4.0,,,,,,,,,,,,,,
K7ENM2,,,,,,,2.0,,,,,,,,,,,,,,
K7ENQ5,,,,,,,2.0,,,,,,,,,,,,,,
K7ENQ6,,,,,,,,,,2.0,,,,,,,,,,,
K7ENT6,,,,,,,6.0,,,,,,,,,,,,,,
K7ENW7,,,,,,,,,,,6.0,5.0,,,,,,,,,
K7EP01,,,,,,,,11.0,,,,22.0,,,,,,,,,
K7EP67,,,,,,,2.0,22.0,15.0,,2.0,4.0,,,,,,,,,
K7EPB2,,,,,,,,,5.0,,,,,,,,,,,,
K7EPE5,,,,,,,,,,,,5.0,,,,,,,,,
K7EPF6,,,,,,,5.0,3.0,2.0,,,,,,,,,,,,
K7EPH2,,,,,,,5.0,,,,,,,,,,,,,,
K7EPJ3,,,,,,,11.0,,5.0,,,9.0,,,,,,,,,
K7EPL2,,,,,,,4.0,,,,,,,,,,,,,,
K7EPW7,,,,,,,,,2.0,,,,,,,,,,,,
K7EPY4,,,,,,,,3.0,,,2.0,,,,,,,,,,
K7EQ02,,,,,,,3.0,,,,,,,,,,,,,,
K7EQ35,,,,,,,,,2.0,,,,,,,,,,,,
K7EQ37,,,,,,,,3.0,,,,,,,,,,,,,
K7EQ48,,,,,,,51.0,26.0,68.0,15.0,22.0,12.0,,,,,,,,,
K7EQ85,,,,,,,,,,3.0,,,,,,,,,,,
K7EQD7,,,,,,,4.0,,4.0,,,,,,,,,,,,
K7EQJ5,,,,,,,44.0,9.0,41.0,,,3.0,,,,,,,,,
K7EQK2,,,,,,,29.0,16.0,28.0,6.0,7.0,8.0,,,,,,,,,
K7EQN7,,,,,,,7.0,,4.0,,,8.0,,,,,,,,,
K7EQQ9,,,,,,,,,3.0,5.0,2.0,,,,,,,,,,
K7EQR9,,,,,,,12.0,4.0,6.0,14.0,4.0,7.0,,,,,,,,,
K7ER00,,,,,,,7.0,12.0,5.0,5.0,5.0,2.0,,,,,,,,,
K7ER16,,,,,,,,8.0,,,,,,,,,,,,,
K7ER56,,,,,,,,,,,2.0,,,,,,,,,,
K7ER69,,,,,,,3.0,,,,2.0,,,,,,,,,,
K7ERC6,,,,,,,,5.0,32.0,,,,,,,,,,,,
K7ERG4,,,,,,,,,7.0,,,,,,,,,,,,
K7ERQ8,,,,,,,6.0,,,,,,,,,,,,,,
K7ERR6,,,,,,,,,2.0,,,,,,,,,,,,
K7ERS0,,,,,,,4.0,,,,2.0,,,,,,,,,,
K7ERT7,,,,,,,43.0,3.0,34.0,,,8.0,,,,,,,,,
K7ERV3,,,,,,,7.0,,,,,,,,,,,,,,
K7ERW9,,,,,,,,,2.0,,,,,,,,,,,,
K7ERX7,,,,,,,,,4.0,,,5.0,,,,,,,,,
K7ES00,,,,,,,22.0,14.0,90.0,46.0,12.0,27.0,,,,,,,,,
K7ES11,,,,,,,3.0,,,,,,,,,,,,,,
K7ES59,,,,,,,4.0,14.0,3.0,4.0,2.0,25.0,,,,,,,,,
K7ES63,,,,,,,,11.0,,,,,,,,,,,,,
K7ESA0,,,,,,,,,3.0,,,,,,,,,,,,
K7ESA3,,,,,,,,3.0,8.0,,,,,,,,,,,,
K7ESF4,,,,,,,10.0,6.0,29.0,,8.0,9.0,,,,,,,,,
K7ESG8,,,,,,,8.0,8.0,11.0,,4.0,7.0,,,,,,,,,
K7ESK7,,,,,,,6.0,,4.0,,,,,,,,,,,,
K7ESM5,,,,,,,146.0,311.0,,18.0,,55.0,,,,,,,,,
M0QX12,,,,,,,,,3.0,,,,,,,,,,,,
M0QX14,,,,,,,,8.0,3.0,,,16.0,,,,,,,,,
M0QXB4,,,,,,,5.0,,,,,7.0,,,,,,,,,
M0QXB5,,,,,,,4.0,,,,,,,,,,,,,,
M0QXD5,,,,,,,2.0,,,,,,,,,,,,,,
M0QXF9,,,,,,,7.0,,5.0,,4.0,,,,,,,,,,
M0QXG5,,,,,,,,,7.0,,,,,,,,,,,,
M0QXL5,,,,,,,39.0,,,,,,,,,,,,,,
M0QXS5,,,,,,,38.0,,150.0,15.0,,,,,,,,,,,
M0QXW7,,,,,,,4.0,,,,,,,,,,,,,,
M0QY37,,,,,,,,,,,,19.0,,,,,,,,,
M0QY43,,,,,,,,,,,,7.0,,,,,,,,,
M0QY96,,,,,,,,,,,,32.0,,,,,,,,,
M0QYC1,,,,,,,5.0,2.0,,5.0,,,,,,,,,,,
M0QYH3,,,,,,,5.0,4.0,,,3.0,,,,,,,,,,
M0QYI8,,,,,,,9.0,,,7.0,2.0,,,,,,,,,,
M0QYL3,,,,,,,,,7.0,4.0,3.0,20.0,,,,,,,,,
M0QYL7,,,,,,,,,,,22.0,,,,,,,,,,
M0QYM5,,,,,,,,,,5.0,,,,,,,,,,,
M0QYM7,,,,,,,128.0,303.0,20.0,3.0,5.0,19.0,,,,,,,,,
M0QYN0,,,,,,,,2.0,4.0,,,,,,,,,,,,
M0QYQ7,,,,,,,10.0,,2.0,,,4.0,,,,,,,,,
M0QYR1,,,,,,,,,2.0,,,,,,,,,,,,
M0QYS1,,,,,,,,,4.0,3.0,,,,,,,,,,,
M0QYT0,,,,,,,5.0,6.0,83.0,2.0,5.0,4.0,,,,,,,,,
M0QYZ0,,,,,,,13.0,,4.0,13.0,4.0,,,,,,,,,,
M0QZB4,,,,,,,,,3.0,,,,,,,,,,,,
M0QZC5,,,,,,,,,2.0,,,,,,,,,,,,
M0QZG7,,,,,,,,,9.0,,,,,,,,,,,,
M0QZL1,,,,,,,7.0,,4.0,,,,,,,,,,,,
M0QZL7,,,,,,,,10.0,,,,,,,,,,,,,
M0QZM1,,,,,,,13.0,,15.0,51.0,42.0,43.0,,,,,,,,,
M0QZN2,,,,,,,,,5.0,,,2.0,,,,,,,,,
M0QZP4,,,,,,,,,,,2.0,,,,,,,,,,
M0QZP8,,,,,,,2.0,,,,,,,,,,,,,,
M0QZR4,,,,,,,8.0,3.0,3.0,6.0,3.0,3.0,,,,,,,,,
M0QZV6,,,,,,,,,,,2.0,,,,,,,,,,
M0QZW4,,,,,,,,,19.0,,,,,,,,,,,,
M0R019,,,,,,,13.0,,8.0,4.0,4.0,24.0,,,,,,,,,
M0R042,,,,,,,126.0,295.0,17.0,,4.0,7.0,,,,,,,,,
M0R061,,,,,,,3.0,,,,,,,,,,,,,,
M0R076,,,,,,,,4.0,3.0,,,,,,,,,,,,
M0R088,,,,,,,,,11.0,,,,,,,,,,,,
M0R0D4,,,,,,,3.0,,,,,,,,,,,,,,
M0R0I5,,,,,,,10.0,11.0,24.0,,4.0,14.0,,,,,,,,,
M0R0I6,,,,,,,,,,,,7.0,,,,,,,,,
M0R0J3,,,,,,,,,17.0,,,,,,,,,,,,
M0R0K8,,,,,,,4.0,,3.0,8.0,3.0,,,,,,,,,,
M0R0K9,,,,,,,12.0,,18.0,3.0,,,,,,,,,,,
M0R0N3,,,,,,,,,7.0,3.0,,,,,,,,,,,
M0R0P7,,,,,,,,,13.0,,,,,,,,,,,,
M0R0Q7,,,,,,,,,,,,7.0,,,,,,,,,
M0R0R2,,,,,,,18.0,20.0,15.0,8.0,3.0,6.0,,,,,,,,,
M0R117,,,,,,,,,2.0,,4.0,,,,,,,,,,
M0R118,,,,,,,2.0,,,,,,,,,,,,,,
M0R181,,,,,,,,,4.0,10.0,4.0,4.0,,,,,,,,,
M0R1A7,,,,,,,3.0,,14.0,,,,,,,,,,,,
M0R1H5,,,,,,,2.0,,,,,,,,,,,,,,
M0R1I1,,,,,,,137.0,13.0,29.0,54.0,56.0,78.0,,,,,,,,,
M0R1K3,,,,,,,28.0,27.0,,19.0,,,,,,,,,,,
M0R1M5,,,,,,,,,2.0,,,,,,,,,,,,
M0R1M6,,,,,,,,,6.0,,,,,,,,,,,,
M0R1V7,,,,,,,,,5.0,,,10.0,,,,,,,,,
M0R1W6,,,,,,,28.0,17.0,74.0,12.0,23.0,8.0,,,,,,,,,
M0R248,,,,,,,6.0,13.0,21.0,,,,,,,,,,,,
M0R278,,,,,,,139.0,21.0,32.0,55.0,57.0,90.0,,,,,,,,,
M0R299,,,,,,,,,,,,14.0,,,,,,,,,
M0R2B0,,,,,,,15.0,11.0,,,2.0,12.0,,,,,,,,,
M0R2B7,,,,,,,4.0,,9.0,2.0,,,,,,,,,,,
M0R2C6,,,,,,,2.0,,,,,,,,,,,,,,
M0R2D3,,,,,,,151.0,308.0,41.0,10.0,24.0,42.0,,,,,,,,,
M0R2I7,,,,,,,6.0,,5.0,31.0,45.0,33.0,,,,,,,,,
M0R2K7,,,,,,,5.0,,,,3.0,,,,,,,,,,
M0R2Q4,,,,,,,38.0,,6.0,10.0,5.0,15.0,,,,,,,,,
M0R2S1,,,,,,,7.0,,7.0,,,8.0,,,,,,,,,
M0R2T0,,,,,,,18.0,,17.0,13.0,8.0,5.0,,,,,,,,,
M0R2V0,,,,,,,3.0,,,,,,,,,,,,,,
M0R323,,,,,,,23.0,14.0,16.0,2.0,5.0,2.0,,,,,,,,,
M0R389,,,,,,,,15.0,18.0,9.0,8.0,3.0,,,,,,,,,
M0R398,,,,,,,2.0,,,,,,,,,,,,,,
M0R3C0,,,,,,,2.0,,,,,,,,,,,,,,
M0R3C7,,,,,,,4.0,,9.0,,,,,,,,,,,,
M0R3F1,,,,,,,11.0,,6.0,8.0,3.0,,,,,,,,,,
O00148,,,,,,,13.0,,13.0,4.0,2.0,17.0,,,,,,,,,
O00151,,,,,,,2.0,,,,,,,,,,,,,,
O00154,,,,,,,15.0,10.0,3.0,15.0,5.0,13.0,,,,,,,,,
O00165,,,,,,,9.0,,5.0,,,,,,,,,,,,
O00170,,,,,,,5.0,3.0,3.0,4.0,3.0,,,,,,,,,,
O00231,,,,,,,,,,3.0,3.0,,,,,,,,,,
O00232,,,,,,,,,,2.0,2.0,,,,,,,,,,
O00233,,,,,,,7.0,,,,,,,,,,,,,,
O00255,,,,,,,3.0,,,,,,,,,,,,,,
O00267,,,,,,,3.0,,,,,,,,,,,,,,
O00273,,,,,,,,,5.0,,,,,,,,,,,,
O00303,,,,,,,8.0,3.0,6.0,6.0,11.0,9.0,,,,,,,,,
O00330,,,,,,,2.0,,2.0,,,,,,,,,,,,
O00425,,,,,,,8.0,,2.0,,,,,,,,,,,,
O00429,,,,,,,,6.0,5.0,,,4.0,,,,,,,,,
O00445,,,,,,,,,,,,3.0,,,,,,,,,
O00479,,,,,,,4.0,,7.0,,,,,,,,,,,,
O00487,,,,,,,,,15.0,3.0,,,,,,,,,,,
O00505,,,,,,,5.0,,,,,,,,,,,,,,
O00541,,,,,,,13.0,,,3.0,7.0,5.0,,,,,,,,,
O00566,,,,,,,,9.0,2.0,,,,,,,,,,,,
O00567,,,,,,,18.0,,12.0,3.0,3.0,3.0,,,,,,,,,
O00629,,,,,,,2.0,,,,,,,,,,,,,,
O00743,,,,,,,3.0,,2.0,2.0,,,,,,,,,,,
O00763,,,,,,,,2.0,,,,,,,,,,,,,
O00764,,,,,,,2.0,4.0,,,,,,,,,,,,,
O00767,,,,,,,,,,,,2.0,,,,,,,,,
O05236,,2.0,,2.0,,,,,,,,,,,,,,,,,
O05239,10.0,10.0,10.0,6.0,2.0,7.0,,,,,,,,,,,,,,,
O05240,6.0,8.0,6.0,2.0,2.0,3.0,,,,,,,,,,,,,,,
O05243,,,,,,3.0,,,,,,,,,,,,,,,
O05250,,,,2.0,,,,,,,,,,,,,,,,,
O05251,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,
O05252,5.0,5.0,3.0,,,,,,,,,,,,,,,,,,
O05265,11.0,12.0,11.0,7.0,6.0,6.0,,,,,,,,,,,,,,,
O05267,,2.0,,,,,,,,,,,,,,,,,,,
O05268,13.0,15.0,11.0,7.0,17.0,40.0,,,,,,,,,,,,,,,
O05272,,,,,,2.0,,,,,,,,,,,,,,,
O05389,8.0,9.0,4.0,15.0,14.0,23.0,,,,,,,,,,,,,,,
O05392,,,,,,4.0,,,,,,,,,,,,,,,
O05394,,,,,5.0,5.0,,,,,,,,,,,,,,,
O05398,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,
O05413,,,2.0,,,,,,,,,,,,,,,,,,
O05494,,,,2.0,3.0,2.0,,,,,,,,,,,,,,,
O05496,63.0,45.0,54.0,28.0,43.0,33.0,,,,,,,,,,,,,,,
O05508,2.0,3.0,2.0,,2.0,8.0,,,,,,,,,,,,,,,
O05516,13.0,9.0,10.0,3.0,4.0,3.0,,,,,,,,,,,,,,,
O05518,,,,,2.0,,,,,,,,,,,,,,,,
O05519,2.0,,3.0,9.0,8.0,9.0,,,,,,,,,,,,,,,
O05521,5.0,4.0,4.0,8.0,12.0,14.0,,,,,,,,,,,,,,,
O05522,5.0,3.0,7.0,,2.0,,,,,,,,,,,,,,,,
O05927,,,,,,,,,,,,,,,,2.0,,,,,
O06006,5.0,6.0,,,3.0,20.0,,,,,,,,,,,,,,,
O06476,6.0,6.0,11.0,7.0,2.0,2.0,,,,,,,,,,,,,,,
O06477,2.0,,,3.0,4.0,12.0,,,,,,,,,,,,,,,
O06478,48.0,59.0,52.0,33.0,25.0,42.0,,,,,,,,,,,,,,,
O06490,,,,,,2.0,,,,,,,,,,,,,,,
O06491,26.0,22.0,27.0,55.0,64.0,127.0,,,,,,,,,,,,,,,
O06492,7.0,8.0,9.0,4.0,10.0,18.0,,,,,,,,,,,,,,,
O06714,3.0,4.0,2.0,,,7.0,,,,,,,,,,,,,,,
O06724,52.0,45.0,47.0,7.0,5.0,15.0,,,,,,,,,,,,,,,
O06736,,,,2.0,3.0,,,,,,,,,,,,,,,,
O06743,,,,,3.0,,,,,,,,,,,,,,,,
O06746,,,,2.0,4.0,,,,,,,,,,,,,,,,
O06747,8.0,8.0,7.0,3.0,6.0,3.0,,,,,,,,,,,,,,,
O06965,,,,,,4.0,,,,,,,,,,,,,,,
O06967,,,,,,2.0,,,,,,,,,,,,,,,
O06972,9.0,7.0,6.0,16.0,21.0,35.0,,,,,,,,,,,,,,,
O06973,6.0,2.0,2.0,44.0,43.0,85.0,,,,,,,,,,,,,,,
O06974,15.0,24.0,31.0,7.0,11.0,11.0,,,,,,,,,,,,,,,
O06975,,,,2.0,,7.0,,,,,,,,,,,,,,,
O06977,4.0,,,,,,,,,,,,,,,,,,,,
O06980,10.0,7.0,8.0,,,,,,,,,,,,,,,,,,
O06986,,,,10.0,11.0,5.0,,,,,,,,,,,,,,,
O06994,10.0,8.0,11.0,,,,,,,,,,,,,,,,,,
O07001,3.0,,,6.0,2.0,,,,,,,,,,,,,,,,
O07008,,4.0,4.0,,,,,,,,,,,,,,,,,,
O07012,,,,,,4.0,,,,,,,,,,,,,,,
O07015,,,2.0,9.0,5.0,11.0,,,,,,,,,,,,,,,
O07020,52.0,63.0,30.0,3.0,10.0,22.0,,,,,,,,,,,,,,,
O07021,122.0,104.0,125.0,39.0,80.0,94.0,,,,,,,,,,,,,,,
O07079,,,,,,2.0,,,,,,,,,,,,,,,
O07081,,,,,2.0,11.0,,,,,,,,,,,,,,,
O07513,14.0,9.0,6.0,9.0,11.0,19.0,,,,,,,,,,,,,,,
O07516,11.0,10.0,7.0,14.0,12.0,6.0,,,,,,,,,,,,,,,
O07521,20.0,15.0,17.0,15.0,21.0,26.0,,,,,,,,,,,,,,,
O07527,,,,2.0,,2.0,,,,,,,,,,,,,,,
O07529,22.0,17.0,12.0,,,3.0,,,,,,,,,,,,,,,
O07532,,,,,,2.0,,,,,,,,,,,,,,,
O07533,8.0,10.0,9.0,,,,,,,,,,,,,,,,,,
O07542,3.0,,,,3.0,11.0,,,,,,,,,,,,,,,
O07543,,,,,,4.0,,,,,,,,,,,,,,,
O07552,7.0,5.0,5.0,,,,,,,,,,,,,,,,,,
O07560,2.0,,,,,,,,,,,,,,,,,,,,
O07561,,,,,,2.0,,,,,,,,,,,,,,,
O07567,,,,3.0,2.0,,,,,,,,,,,,,,,,
O07573,,,,,2.0,7.0,,,,,,,,,,,,,,,
O07575,4.0,3.0,4.0,,,,,,,,,,,,,,,,,,
O07581,,,,,,7.0,,,,,,,,,,,,,,,
O07584,5.0,3.0,3.0,5.0,2.0,,,,,,,,,,,,,,,,
O07585,,3.0,,2.0,,4.0,,,,,,,,,,,,,,,
O07587,2.0,3.0,2.0,4.0,6.0,4.0,,,,,,,,,,,,,,,
O07595,,4.0,,,,2.0,,,,,,,,,,,,,,,
O07597,17.0,16.0,30.0,4.0,4.0,7.0,,,,,,,,,,,,,,,
O07598,7.0,2.0,3.0,,,2.0,,,,,,,,,,,,,,,
O07603,2.0,4.0,,11.0,20.0,25.0,,,,,,,,,,,,,,,
O07604,3.0,,,2.0,,,,,,,,,,,,,,,,,
O07607,5.0,6.0,5.0,6.0,7.0,9.0,,,,,,,,,,,,,,,
O07608,23.0,20.0,30.0,47.0,86.0,70.0,,,,,,,,,,,,,,,
O07609,7.0,3.0,,18.0,23.0,52.0,,,,,,,,,,,,,,,
O07610,,,,2.0,3.0,,,,,,,,,,,,,,,,
O07617,5.0,6.0,9.0,6.0,9.0,6.0,,,,,,,,,,,,,,,
O07618,3.0,,2.0,,,2.0,,,,,,,,,,,,,,,
O07621,12.0,11.0,9.0,4.0,6.0,8.0,,,,,,,,,,,,,,,
O07624,,,,5.0,5.0,6.0,,,,,,,,,,,,,,,
O07631,10.0,8.0,13.0,61.0,65.0,105.0,,,,,,,,,,,,,,,
O07636,,,3.0,,,2.0,,,,,,,,,,,,,,,
O07638,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,
O07918,2.0,,,,,,,,,,,,,,,,,,,,
O08336,2.0,,2.0,,,7.0,,,,,,,,,,,,,,,
O08394,3.0,,3.0,,,,,,,,,,,,,,,,,,
O08455,,2.0,2.0,,,,,,,,,,,,,,,,,,
O14497,,,,,,,9.0,12.0,25.0,,,,,,,,,,,,
O14523,,,,,,,,,2.0,,,,,,,,,,,,
O14556,,,,,,,,,,,,12.0,,,,,,,,,
O14617,,,,,,,2.0,,,,,,,,,,,,,,
O14715,,,,,,,2.0,,,,,,,,,,,,,,
O14734,,,,,,,,,,,,2.0,,,,,,,,,
O14744,,,,,,,4.0,3.0,8.0,,,,,,,,,,,,
O14745,,,,,,,,,,,3.0,,,,,,,,,,
O14773,,,,,,,,,,,2.0,,,,,,,,,,
O14776,,,,,,,3.0,,20.0,2.0,,4.0,,,,,,,,,
O14787,,,,,,,,,,,2.0,,,,,,,,,,
O14818,,,,,,,,,2.0,,4.0,,,,,,,,,,
O14828,,,,,,,4.0,,4.0,,2.0,,,,,,,,,,
O14908,,,,,,,3.0,,,,,,,,,,,,,,
O14929,,,,,,,5.0,7.0,4.0,,,,,,,,,,,,
O14933,,,,,,,,,,,,4.0,,,,,,,,,
O14950,,,,,,,5.0,,,,,,,,,,,,,,
O14964,,,,,,,6.0,,2.0,,,,,,,,,,,,
O14979,,,,,,,4.0,10.0,2.0,,,2.0,,,,,,,,,
