"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"P0CI73",1309.28428271797,2.60656158965023,0.367910306900318,7.08477457892055,1.39270814655409e-12,1.28129149482976e-09
"P37877",760.395672830203,3.38122927836482,0.486446996989289,6.95086884962161,3.63043263221905e-12,1.66999901082076e-09
"P21472",222.455128705194,4.76607504159053,0.692553722877957,6.88188494862862,5.90657106644876e-12,1.81134846037762e-09
"P54484",399.66359557637,3.7999186137251,0.630881449635383,6.02318964350791,1.71012865918326e-09,3.93329591612149e-07
"O32028",190.334406614697,3.23959318637389,0.623457051126786,5.19617699490111,2.03428584455492e-07,3.74308595398105e-05
"P39646",54.395172480713,-2.84692074507812,0.553929090216391,-5.13950394619278,2.75464707377859e-07,4.22379217979384e-05
"P39751",92.3458117381157,2.22722683435571,0.46374491226536,4.80269815462961,1.56541776338485e-06,0.000201232446993143
"P70965",285.497520218821,2.3380427788084,0.489093824475339,4.78035636887557,1.74984736515777e-06,0.000201232446993143
"P39912",273.860097205043,2.45161281729665,0.519821387150132,4.7162600037243,2.40219421242489e-06,0.000245557630603433
"P39148",356.501485988404,2.12116362362766,0.462876058912395,4.58257363453122,4.59287898136704e-06,0.000422544866285768
"P39121",45.1016482711238,3.95946057661782,0.876745994826373,4.51608630091539,6.29930006252683e-06,0.00044979260194515
"P42982",10.8581880277194,6.86482865802384,1.52072037582729,4.51419522427934,6.35576502748582e-06,0.00044979260194515
"P45694",89.5055670481987,-2.0931235807504,0.461080699343837,-4.53960355254323,5.63600961861476e-06,0.00044979260194515
"O31796",20.1573249077497,-3.67140081857039,0.82279307732831,-4.46211923718633,8.1153045109714e-06,0.000533291439292406
"O32038",92.4371465246788,2.97586836437459,0.684640455547283,4.34661484033362,1.3825468005805e-05,0.000755892585510264
"O34592",9.08140190023397,6.60602717572052,1.52414624575208,4.33424757901811,1.46259500580419e-05,0.000755892585510264
"P16971",93.8308575613537,2.5746277880968,0.589593822759726,4.36678216207502,1.26090368851371e-05,0.000755892585510264
"Q05852",344.916946638461,2.69138303329254,0.621307550441248,4.33180480646202,1.47892027599834e-05,0.000755892585510264
"O32033",13.9273159372375,4.3124561960707,1.06396692411206,4.05318633346585,5.05247278791564e-05,0.00244646050783283
"O06744",7.50863344714169,6.33129925181268,1.58923377402855,3.98386905392996,6.78022428020373e-05,0.00303455446855387
"P34956",25.5061312065083,-4.16231841820186,1.04612679689082,-3.97878959851962,6.92670041735123e-05,0.00303455446855387
"P40924",833.499224588317,1.78033385967198,0.450572416839024,3.95127130098609,7.77371377289643e-05,0.00325082575957487
"P14193",162.367084520108,1.93773208038881,0.493900400656711,3.92332558915182,8.73349963398248e-05,0.00328125951608715
"P17631",26.8439184905914,2.75801748678645,0.703875793711096,3.91832978407334,8.91646607632378e-05,0.00328125951608715
"P23966",49.067904061833,2.19802690181893,0.559073469883976,3.93155286419704,8.43989319882656e-05,0.00328125951608715
"P33166",8874.08033056185,1.59634792183791,0.415935794446894,3.83796716500612,0.000124057065590802,0.00438971155167452
"P17921",6.72462507444002,-6.24743539126,1.63948815326916,-3.81060111889345,0.000138629293047661,0.00472366480014253
"O07513",6.29407619140648,-6.14762959815803,1.62789155172458,-3.7764368220016,0.000159087888279234,0.00504692611092742
"P21880",112.879804950179,-1.93103541035924,0.510730235826243,-3.78093027375846,0.000156243432975809,0.00504692611092742
"P21879",49.4237154743667,-2.12427044969918,0.568719515229795,-3.73518121466406,0.000187580062881345,0.00575245526169458
"P21465",181.767254251857,1.99598706581407,0.536276386469187,3.721937262529,0.000197700149529498,0.00586723024410124
"P08838",25.6717197484599,-2.36607137306919,0.643344572078318,-3.67776690090914,0.000235284825812564,0.00638900189878229
"P54439",6.57542475612228,-6.20965924742532,1.68231148013968,-3.691147163134,0.000223244920532474,0.00638900189878229
"P54574",6.45139448951957,6.1139744606448,1.66282138061582,3.67686784156006,0.000236115287563693,0.00638900189878229
"P12879",469.756757411962,2.63197113172949,0.723387764780612,3.63839597498268,0.000274341396766057,0.00721125957213635
"P39821",44.6104237867687,2.12374519288742,0.586524884725267,3.62089529054203,0.000293585324373777,0.00730515421127817
"Q04797",23.0240947843004,-2.61228245245288,0.721483229328278,-3.62071126017024,0.000293794245453579,0.00730515421127817
"P37808",132.775636132096,-1.71749745211818,0.476543770420908,-3.60407072492249,0.000313271750327819,0.00739000026414342
"P50866",121.241698875677,2.06470442969843,0.571907614658472,3.61020622348493,0.000305953654799109,0.00739000026414342
"P45745",254.477272490067,1.48891197581197,0.418779836993437,3.55535736032893,0.000377465686574118,0.00868171079120471
"P24809",5.68653228653929,-5.9908618948686,1.68923386484973,-3.54649644405603,0.000390390010979407,0.00875997097807451
"P21466",403.279815803999,1.74925888779548,0.494828395254338,3.53508186791983,0.000407648839008932,0.00892945075924327
"O34660",59.3798942906183,-1.84942858220416,0.524717108552328,-3.52462031837813,0.000424090170903423,0.00907355714491044
"P39773",165.167302378995,1.65797088497452,0.47735994795298,3.47320903666982,0.000514274642011686,0.0107530152420625
"P17865",26.450222817019,-2.16521570842791,0.630528833227186,-3.43396779707259,0.000594814857350824,0.0121606593058391
"P32395",22.6259721121195,-2.4123144547059,0.707728557408646,-3.40853061453195,0.000653137560030998,0.012784820324011
"Q795M6",5.19410811912016,5.7978356451185,1.69992599134776,3.41064003646523,0.000648105930998287,0.012784820324011
"O32117",4.97613627562704,-5.80650525944216,1.72640595417494,-3.36334872189267,0.000770030264417343,0.0134788573526639
"P28015",29.2986869263927,-3.4693174083627,1.03201338230294,-3.3616980824618,0.000774647730224472,0.0134788573526639
"P35137",61.129286188476,1.69974413515633,0.504928698890113,3.36630526031209,0.000761823518599075,0.0134788573526639
"P42412",24.321131146146,-2.19703325913419,0.650801130184446,-3.37589035610851,0.000735772346644128,0.0134788573526639
"P54437",5.6636270627706,-5.98856178855603,1.78175923778959,-3.3610387203522,0.000776499390968682,0.0134788573526639
"Q02886",5.34575782032701,5.84294702261545,1.72958567387745,3.37823509460304,0.000729526830035265,0.0134788573526639
"P31103",36.2504135336836,-2.45303114760569,0.737309420102123,-3.32700367135676,0.000877852169039981,0.0148096601324352
"P55874",19.7462116599504,-2.5609824708709,0.770306057809915,-3.32462979474953,0.000885360116612974,0.0148096601324352
"P30949",94.7534446163926,1.47517742912568,0.452610151586008,3.25926721695581,0.00111700404700565,0.0180288372499158
"P52996",32.2648787164948,1.93232441274727,0.592023294148517,3.26393307804966,0.00109877115326607,0.0180288372499158
"O32078",30.4595965689343,2.081396447806,0.639713626468789,3.25363781805818,0.00113937442734534,0.0180728357440986
"Q795U4",21.8565340276408,-3.51251100984937,1.0814757869312,-3.24788687115825,0.0011626548719246,0.0181295335961124
"P09124",1686.67155090519,1.42651236361691,0.440710231657367,3.23684875264245,0.00120857448417099,0.0185314754239552
"P54378",8.45022494473649,-4.69725848182421,1.45364677338482,-3.23136168141222,0.00123201936466786,0.0185812756638431
"P42971",4.64205702928503,-5.69680128236165,1.76732796761534,-3.22339791297954,0.00126679444124335,0.0187975949345788
"O32164",117.916448534653,1.75412033377343,0.548102883778912,3.20034866753408,0.00137261429467232,0.0200445262079132
"P13714",36.8818713775218,-1.7751563268999,0.558169090789359,-3.18032000731085,0.00147112497719822,0.0211474215472244
"O34857",4.30666123250492,-5.60160269212564,1.78169478846128,-3.14397433746963,0.00166670055230088,0.0232327955775274
"P08877",23.3680270572719,-2.62215091812313,0.833637666875847,-3.14543238904972,0.0016584152254374,0.0232327955775274
"P80700",91.3451855281888,-1.78157558817331,0.568506723724037,-3.13378103341151,0.00172569579031577,0.0236961212998583
"P37812",15.3028469779332,-2.66295724902647,0.854096332191487,-3.11786522041806,0.00182166088505334,0.0246460002095451
"O32099",14.5546350077558,2.65458863347356,0.856920483282897,3.09782375991729,0.00194947325068381,0.0258631979527337
"P38494",69.7747751840837,-1.6516481286609,0.533643248589323,-3.09504174001453,0.00196785201814278,0.0258631979527337
"P80859",63.4124761145796,-1.75493595345567,0.568880015611116,-3.08489647253726,0.00203623017188909,0.0263849543399714
"P37887",83.9620350095855,1.89107549149408,0.61426702243873,3.07858866325957,0.00207983630549627,0.0265756861257857
"O05516",12.8539605739402,2.7116504590074,0.885241870593145,3.06317465213263,0.00219002201522675,0.0276002774521727
"P42415",12.174701708147,-3.05415851590207,1.00690010306376,-3.03322892371247,0.00241951978730211,0.0300721779750107
"P55179",13.4895747682262,-2.5878441625347,0.854282625953646,-3.02925997078058,0.00245153624796283,0.0300721779750107
"P37518",86.4624266662479,2.32082892190133,0.768972864883257,3.0180894903927,0.002543737751824,0.0301207733453204
"P54376",20.0996214078026,-2.74798421501425,0.910776856995292,-3.01718713415712,0.00255132256371445,0.0301207733453204
"Q03222",46.0630870893904,1.94144493052397,0.643522555554114,3.01690269248179,0.00255371774014673,0.0301207733453204
"P42418",22.0803397339542,-2.0859047173912,0.700073400806701,-2.97955145130152,0.00288670746186849,0.0336173527204938
"O34860",6.93240301608978,-4.36506853470095,1.47202245359081,-2.9653545868495,0.00302334235824157,0.0347684371197781
"O34454",42.2737542026612,1.60451857961618,0.545464583216107,2.94156326366013,0.00326560130593117,0.0370907802648973
"P37942",8.04468140777457,-3.91603229771115,1.33642094011281,-2.93023865473149,0.00338701765728601,0.0375428463217244
"P42921",136.68132671103,2.56642425688808,0.874783659285983,2.93378166092271,0.00334859675314248,0.0375428463217244
"O31689",6.74452966162215,-4.32698177035492,1.48146010860578,-2.9207548318173,0.00349184494857665,0.0382440161034586
"P45861",3.94252481119193,5.39874213382968,1.85357826611065,2.91260543594839,0.00358427175005362,0.0387944707064628
"P08821",84.729900944492,-1.89261306501158,0.653782072964099,-2.89486840229635,0.0037931751707735,0.04057815298967
"P20277",17.3448182516993,3.2689000528788,1.14308135169331,2.85972651730901,0.00424006486875307,0.0443423472487471
"P31104",57.3840910133601,1.54609170742755,0.540662674953264,2.859623530626,0.00424144191074972,0.0443423472487471
"P80875",45.0823028633529,-2.69221578545409,0.943112062896529,-2.85460857873627,0.0043089899600226,0.0445423681260763
"P12013",3.53864506021922,-5.31809956649213,1.87912049252457,-2.83010035154656,0.0046533406182829,0.0475674818757807
"P96688",3.67470998735764,5.30055367340116,1.89170072485422,2.80200435711608,0.00507861877201199,0.0513442776950663
"P50848",10.26589329496,-3.00261850074286,1.07424547749261,-2.79509531448181,0.00518844155502875,0.0518844155502875
"P37437",3.46300915482432,-5.27691217458607,1.89147253710964,-2.78984340034337,0.00527335409547628,0.0521665136326686
"Q45600",30.8948807728185,2.21003261273526,0.79337126300569,2.78562221218165,0.00534250965808116,0.0522883923982411
"P08066",35.4763211522826,-1.73492131134544,0.624088547618636,-2.77992813354044,0.00543709296543676,0.0526539529284402
"P37570",21.8320336605485,2.21494557606667,0.805254197552495,2.75061661621736,0.0059483214973861,0.0547245577759521
"P37573",6.22422946821666,-4.15082469755808,1.50189462498046,-2.76372564926922,0.00571455648073018,0.0547245577759521
"P39598",4.93075320531722,5.72671164117706,2.07726923541525,2.7568461244901,0.00583618086370968,0.0547245577759521
"P54531",9.76250922981315,-3.16134505574463,1.14612925060997,-2.75827970890906,0.00581064546263608,0.0547245577759521
"P55872",10.9671399844698,-2.86456688289235,1.04091245806368,-2.75197674953478,0.00592367264269452,0.0547245577759521
"P45743",50.3556092736802,1.89938465663789,0.693234734133976,2.73988674126477,0.0061460359427214,0.05598369373568
"O31698",13.5926372081962,2.56471573812309,0.938550093749143,2.73263596179299,0.00628297336109843,0.0561197620602967
"P18157",134.680942707516,1.23218053374836,0.450740752590962,2.73367900875503,0.00626310684908291,0.0561197620602967
"O34909",30.0029536854874,-1.6094923899686,0.591716514890762,-2.72003966336097,0.00652740862774814,0.0561356406057735
"P15874",3.2802017192721,-5.20558737525569,1.9119183428299,-2.72270381984552,0.00647500786045616,0.0561356406057735
"P39576",21.8809573879148,1.96253808849139,0.721527042419981,2.71997856367115,0.00652861484671838,0.0561356406057735
"P42199",23.8704314806004,3.30831009519141,1.2163046872857,2.71996821994842,0.00652881907045409,0.0561356406057735
"P51777",189.251605772872,-2.54280408420875,0.936992228607822,-2.71379420935736,0.00665174733079716,0.0566630328179018
"P50863",118.651451862197,1.57496862953454,0.582297541665975,2.7047488901095,0.00683560405635346,0.057695006714176
"O32294",16.7303696572057,2.05611561677992,0.762449981000119,2.69672197261108,0.00700257093633219,0.05803932667951
"O34824",9.72194138298272,-2.89376298324056,1.07241419802346,-2.69836317774791,0.00696813752096555,0.05803932667951
"O31571",12.0087228877091,-2.84502052878588,1.06302971134147,-2.67633208971711,0.00744328519308043,0.061141271228875
"P94405",3.22408299473573,-5.18920629200744,1.94347848223644,-2.67006109891992,0.00758374457424254,0.061743761135426
"O06478",63.1587769971908,1.45882923805876,0.547843529899457,2.66285747378726,0.00774802238525096,0.0625278999511481
"contaminant_INT-STD1",4.50035544792191,-5.67695135606817,2.14146197082353,-2.6509699604355,0.00802609795309494,0.0642087836247595
"O07617",29.3306279235639,2.82838170654447,1.07090355363887,2.64111711734804,0.00826331488547512,0.0648802377527759
"O31629",7.98026855334181,-3.52611509489523,1.33512464162377,-2.64103813604008,0.00826524151930413,0.0648802377527759
"P02968",154.39464974284,-1.55185392415787,0.588717212462018,-2.63599210505161,0.00838916833831017,0.0648802377527759
"P71084",65.7579953833425,1.38512983386545,0.525491905156438,2.63587282748552,0.00839211770932645,0.0648802377527759
"P39578",5.73383796077055,-4.06944725083494,1.54613565794976,-2.63201177070789,0.00848809220821983,0.065075373596352
"O06492",22.36114752396,1.8024714252295,0.686970918979633,2.62379581934375,0.00869558962948628,0.0655732988453064
"O34334",49.3098834986794,1.4428581455418,0.549713113783517,2.62474754442553,0.00867132343634823,0.0655732988453064
"O32133",10.563757155071,2.74794373666814,1.05670089689393,2.60049342699098,0.00930898023535531,0.069500880186949
"P94550",3.0268242972404,-5.08661082210532,1.95763702539111,-2.59834216258199,0.00936750993824095,0.069500880186949
"O05496",23.1465956852233,-1.73599723333497,0.673439150828565,-2.57780859814742,0.00994290552156321,0.0731797846387052
"P50735",81.5388376395357,1.2738571565685,0.495526002174675,2.57071707837335,0.0101488199751504,0.0738582323607841
"P80870",32.4386501508928,1.63191143892412,0.635201932623836,2.56912228239478,0.0101956472932822,0.0738582323607841
"O31646",101.704606749799,1.18604922248045,0.462599763346465,2.56387771126496,0.0103510007184235,0.074397817663669
"O32035",6.78880080290435,3.28406219223904,1.28990978014531,2.54596270435991,0.0108976830821004,0.0775134377325499
"P21883",74.6389666998028,-1.21514440748439,0.477614456974311,-2.54419519706823,0.010952985766556,0.0775134377325499
"Q07836",71.3002785963027,1.41705569240744,0.558239807976068,2.5384354038546,0.0111349356560606,0.0781995481188987
"P27623",19.3686240210535,1.84671097015136,0.73123806055972,2.52545794558042,0.0115547610037981,0.080533182753744
"O34981",66.0193583626382,2.40076581522209,0.952547459619991,2.52036346428329,0.0117233710063386,0.0810939949310641
"O34564",14.6727587037518,-2.42803171779522,0.965817490630501,-2.51396536234829,0.0119382158391599,0.0813567301631641
